Date,Nuclear,Biomass,Net Imports,Large Hydro,Wind,*Embedded Wind,Solar,Coal,Gas,Storage
27-Feb ,7.52,2.08,2.478,1.19,2.62,0.7863,1.70,3.36,21.33,0.34
27-Feb ,7.52,2.09,2.476,1.18,2.62,0.7851,2.01,3.36,21.36,0.34
27-Feb ,7.60,2.09,2.492,0.92,2.43,0.7296,1.79,3.54,21.66,0.35
27-Feb ,7.76,2.09,2.455,1.01,2.59,0.7761,1.33,4.33,22.73,0.33
27-Feb ,7.76,2.09,2.495,1.18,2.81,0.8418,0.62,4.86,24.00,0.49
27-Feb ,7.77,2.09,2.493,1.40,2.88,0.8643,0.24,4.78,24.61,1.85
27-Feb ,7.77,2.09,2.491,1.36,2.89,0.8667,0.24,4.51,23.86,1.23
27-Feb ,7.76,2.09,2.51,1.34,2.96,0.8865,0.24,4.16,22.33,0.37
27-Feb ,7.76,2.09,2.54,0.99,3.00,0.9012,0.24,3.03,19.43,0.47
27-Feb ,7.87,2.10,2.503,0.93,3.07,0.9213,0.24,2.44,15.07,0.37
27-Feb ,7.87,2.08,2.783,0.85,3.08,0.9243,0.24,1.96,11.44,0.23
27-Feb ,7.93,2.09,2.942,0.84,3.05,0.9144,0.24,2.10,11.78,0.18
28-Feb ,7.91,2.09,2.932,0.75,3.01,0.9033,0.24,2.10,11.86,0.00
28-Feb ,7.91,2.09,2.969,0.75,2.90,0.8712,0.24,1.97,11.54,0.00
28-Feb ,7.91,2.09,2.978,0.76,2.97,0.891,0.24,1.94,11.01,0.00
28-Feb ,7.94,2.09,2.929,0.75,3.27,0.9813,0.24,1.99,10.01,0.00
28-Feb ,7.93,2.09,2.996,0.75,3.65,1.0941,0.24,2.31,10.48,0.11
28-Feb ,7.93,2.09,2.979,0.79,3.50,1.0491,0.24,2.54,14.65,0.22
28-Feb ,7.93,2.09,2.91,1.00,3.20,0.9612,0.48,2.98,19.77,0.59
28-Feb ,7.95,2.09,2.768,1.07,3.17,0.9498,0.72,3.06,19.93,0.33
28-Feb ,7.93,2.09,2.889,1.13,3.26,0.978,2.26,2.95,19.27,0.39
28-Feb ,7.90,2.08,2.556,1.13,2.70,0.81,3.52,2.98,19.32,0.33
28-Feb ,7.89,2.09,2.504,0.93,2.75,0.8262,3.93,2.96,19.53,0.50
28-Feb ,7.90,2.09,2.89,0.90,2.46,0.7377,3.55,2.95,19.82,0.70
28-Feb ,7.93,2.10,2.885,0.85,3.00,0.9006,3.04,2.96,19.42,0.43
